exam_center,CENTRE CATEGORY,CENTRE POSITION IN ITS CATEGORY(NATIONWISE),CENTRE POSITION IN ITS CATEGORY(REGIONWISE),EXAMINATION CENTRE GPA,EXAMINATION CENTRE REGION,TOTAL PASSED CANDIDATES,REGIST,ABSENT,SAT,WITHHELD,NO-CA,CLEAN,DIV I,DIV II,DIV III,DIV IV,DIV 0
S1205 GEHANDU,CENTRE WITH 40 CANDIDATES OR MORE,1166/3488,47/98,3.8917,MANYARA,90,108,1,107,0,0,107,2,9,26,53,17
S1206 LUKOZI,CENTRE WITH 40 CANDIDATES OR MORE,3245/3488,148/188,4.4238,TANGA,47,80,1,79,0,0,79,0,0,7,40,32
S1207 MAKUTUPORA,CENTRE WITH 40 CANDIDATES OR MORE,2379/3488,67/117,4.1854,DODOMA,45,72,3,69,0,0,69,0,4,17,24,24
S1208 KISHOGO,CENTRE WITH 40 CANDIDATES OR MORE,2599/3488,164/200,4.2348,KAGERA,78,122,3,119,0,0,119,4,5,9,60,41
S1209 SANZA,CENTRE WITH LESS THAN 40 CANDIDATES,1151/1371,51/60,4.3288,SINGIDA,13,23,1,22,0,0,22,1,0,1,11,9
S1211 KATESH,CENTRE WITH 40 CANDIDATES OR MORE,700/3488,19/98,3.6429,MANYARA,95,102,3,99,0,0,99,1,16,34,44,4
S1212 IKOMA,CENTRE WITH 40 CANDIDATES OR MORE,1704/3488,59/157,4.0390,MARA,78,103,3,100,0,0,100,3,7,16,52,22
S1215 ENGUSERO,CENTRE WITH 40 CANDIDATES OR MORE,1503/3488,65/98,3.9967,MANYARA,98,125,4,121,0,0,121,3,7,17,71,23
S1216 MIPA,CENTRE WITH 40 CANDIDATES OR MORE,1526/3488,64/108,4.0008,SHINYANGA,38,57,5,52,0,0,52,1,6,6,25,14
S1217 MWASAYI,CENTRE WITH LESS THAN 40 CANDIDATES,146/1371,9/81,3.3150,SIMIYU,25,28,1,27,0,0,27,3,6,7,9,2
S1219 FUKUCHANI,CENTRE WITH LESS THAN 40 CANDIDATES,1228/1371,2/4,4.4054,KASKAZINI UNGUJA,29,38,2,36,0,0,36,0,0,0,29,7
S1220 MSAMALA,CENTRE WITH 40 CANDIDATES OR MORE,1519/3488,43/115,4.0005,RUVUMA,122,142,1,141,0,0,141,1,11,18,92,19
S1221 MUHANGE,CENTRE WITH 40 CANDIDATES OR MORE,1909/3488,71/113,4.0860,KIGOMA,70,110,2,108,0,0,108,2,14,9,45,38
S1222 KIHONDA,CENTRE WITH 40 CANDIDATES OR MORE,1279/3488,54/159,3.9264,MOROGORO,322,442,2,440,0,0,440,11,56,71,184,118
S1223 KIMALI,CENTRE WITH 40 CANDIDATES OR MORE,2488/3488,60/70,4.2088,SIMIYU,51,79,1,78,0,0,78,0,6,10,35,27
S1224 USA RIVER,CENTRE WITH LESS THAN 40 CANDIDATES,124/1371,14/45,3.2500,ARUSHA,25,25,0,25,0,0,25,2,5,9,9,0
S1225 MATANDA,CENTRE WITH LESS THAN 40 CANDIDATES,1204/1371,53/76,4.3918,LINDI,10,21,1,20,0,0,20,0,1,2,7,10
S1226 BUKWE,CENTRE WITH 40 CANDIDATES OR MORE,3065/3488,138/157,4.3576,MARA,40,88,7,81,0,0,81,0,3,10,27,41
S1227 MISASI,CENTRE WITH 40 CANDIDATES OR MORE,2395/3488,180/241,4.1886,MWANZA,105,165,4,161,0,0,161,2,11,25,67,56
S1228 MTAPIKA,CENTRE WITH 40 CANDIDATES OR MORE,2776/3488,65/99,4.2755,MTWARA,41,53,1,52,0,0,52,0,0,5,36,11
S1229 URAKI,CENTRE WITH 40 CANDIDATES OR MORE,1543/3488,102/173,4.0048,ARUSHA,63,72,0,72,0,0,72,0,5,13,45,9
S1230 MAGHANG,CENTRE WITH 40 CANDIDATES OR MORE,917/3488,33/98,3.7849,MANYARA,84,96,4,92,0,0,92,2,12,18,52,8
S1231 MBABALA,CENTRE WITH 40 CANDIDATES OR MORE,1501/3488,37/117,3.9963,DODOMA,66,80,1,79,0,0,79,0,3,17,46,13
S1232 KATE,CENTRE WITH 40 CANDIDATES OR MORE,2808/3488,49/51,4.2835,RUKWA,46,67,2,65,0,0,65,0,1,5,40,19
S1233 KOROMIJE,CENTRE WITH 40 CANDIDATES OR MORE,1798/3488,128/241,4.0615,MWANZA,89,121,2,119,0,0,119,1,15,13,60,30
S1235 MPERA,CENTRE WITH 40 CANDIDATES OR MORE,1181/3488,40/108,3.8960,SHINYANGA,97,116,3,113,0,0,113,1,8,28,60,16
S1236 BANGATA,CENTRE WITH 40 CANDIDATES OR MORE,974/3488,56/173,3.8181,ARUSHA,77,87,1,86,0,0,86,2,9,14,52,9
S1237 MCHINGA,CENTRE WITH LESS THAN 40 CANDIDATES,929/1371,29/76,4.1836,LINDI,31,39,1,38,0,0,38,0,0,6,25,7
S1238 MKULA,CENTRE WITH 40 CANDIDATES OR MORE,1205/3488,35/70,3.9048,SIMIYU,64,81,4,77,0,0,77,1,7,21,35,13
S1239 SAMUYE,CENTRE WITH 40 CANDIDATES OR MORE,1400/3488,57/108,3.9675,SHINYANGA,55,69,3,66,0,0,66,0,5,11,39,11
S1240 DAKAMA,CENTRE WITH 40 CANDIDATES OR MORE,1768/3488,79/108,4.0536,SHINYANGA,42,50,1,49,0,0,49,0,1,10,31,7
S1241 JUHUDI,CENTRE WITH 40 CANDIDATES OR MORE,946/3488,85/239,3.8039,DAR ES SALAAM,330,388,1,387,0,0,387,11,35,92,192,57
S1242 VUMARI,CENTRE WITH 40 CANDIDATES OR MORE,3162/3488,253/270,4.3875,KILIMANJARO,71,123,4,119,0,0,119,0,2,12,57,48
S1243 BISHOP KISANJI,CENTRE WITH 40 CANDIDATES OR MORE,1139/3488,41/98,3.8783,TABORA,91,92,0,92,0,0,92,0,5,18,68,1
S1244 MOYOWOSI,CENTRE WITH 40 CANDIDATES OR MORE,2186/3488,78/113,4.1417,KIGOMA,46,63,2,61,0,0,61,0,4,6,36,15
S1245 KAINAM,CENTRE WITH 40 CANDIDATES OR MORE,857/3488,29/98,3.7572,MANYARA,74,84,1,83,0,0,83,1,16,16,41,9
S1246 MIDLANDS,CENTRE WITH 40 CANDIDATES OR MORE,138/3488,18/239,2.4256,DAR ES SALAAM,41,41,0,41,0,0,41,15,19,7,0,0
S1249 SIMBEGA,CENTRE WITH 40 CANDIDATES OR MORE,3172/3488,66/70,4.3925,SONGWE,55,91,3,88,0,0,88,0,4,4,47,33
S1250 ST.MARY'S MPANDA,CENTRE WITH 40 CANDIDATES OR MORE,958/3488,7/29,3.8119,KATAVI,110,116,0,116,0,0,116,0,12,28,70,6
S1251 ZIBA,CENTRE WITH 40 CANDIDATES OR MORE,575/3488,15/98,3.4649,TABORA,110,117,5,112,0,0,112,3,21,39,47,2
S1253 ULAYA,CENTRE WITH 40 CANDIDATES OR MORE,1069/3488,38/98,3.8523,TABORA,58,62,0,62,0,0,62,0,4,18,36,4
S1254 MICHEWENI,CENTRE WITH 40 CANDIDATES OR MORE,2533/3488,4/21,4.2202,KASKAZINI PEMBA,59,73,4,69,0,0,69,0,1,10,48,10
S1255 NKOWE,CENTRE WITH 40 CANDIDATES OR MORE,2269/3488,15/45,4.1601,LINDI,36,50,5,45,0,0,45,0,1,7,28,9
S1256 TEDEO,CENTRE WITH 40 CANDIDATES OR MORE,2047/3488,131/239,4.1143,DAR ES SALAAM,87,111,9,102,0,0,102,0,1,21,65,15
S1257 ARAFAH ISLAMIC SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,583/3488,20/188,3.4754,TANGA,63,63,0,63,0,0,63,0,12,25,26,0
S1258 TUMATI,CENTRE WITH 40 CANDIDATES OR MORE,1856/3488,85/98,4.0745,MANYARA,55,73,2,71,0,0,71,3,2,12,38,16
S1259 NZEGA,CENTRE WITH 40 CANDIDATES OR MORE,1170/3488,42/98,3.8925,TABORA,94,107,0,107,0,0,107,2,10,22,60,13
S1260 SIMA,CENTRE WITH 40 CANDIDATES OR MORE,1672/3488,110/241,4.0324,MWANZA,55,78,6,72,0,0,72,0,5,15,35,17
S1261 MERRIWA,CENTRE WITH 40 CANDIDATES OR MORE,763/3488,15/117,3.6982,DODOMA,71,81,0,81,5,0,76,1,12,20,38,5
S1262 MATEMA BEACH,CENTRE WITH 40 CANDIDATES OR MORE,1025/3488,68/174,3.8401,MBEYA,136,143,3,140,0,0,140,4,11,21,100,4
S1263 MKUYU,CENTRE WITH 40 CANDIDATES OR MORE,2507/3488,103/188,4.2141,TANGA,50,64,1,63,0,0,63,0,2,8,40,13
S1264 BWAWANI,CENTRE WITH 40 CANDIDATES OR MORE,664/3488,33/115,3.5997,PWANI,126,132,1,131,0,0,131,3,26,32,65,5
S1265 NKOANRUA,CENTRE WITH 40 CANDIDATES OR MORE,1042/3488,61/173,3.8453,ARUSHA,141,161,3,158,0,0,158,3,17,35,86,17
S1266 MARETADU,CENTRE WITH 40 CANDIDATES OR MORE,1815/3488,84/98,4.0650,MANYARA,59,69,0,69,0,0,69,0,5,9,45,10
S1267 BROOKEBOND,CENTRE WITH LESS THAN 40 CANDIDATES,27/1371,3/32,2.6276,IRINGA,32,32,0,32,0,0,32,4,19,9,0,0
S1268 KISIMIRI,CENTRE WITH 40 CANDIDATES OR MORE,490/3488,33/173,3.3359,ARUSHA,229,237,2,235,0,0,235,14,48,69,98,6
S1269 MAKUZANI,CENTRE WITH LESS THAN 40 CANDIDATES,731/1371,29/39,4.0501,RUKWA,30,38,0,38,0,0,38,1,4,4,21,8
S1270 NYARUBANDA,CENTRE WITH 40 CANDIDATES OR MORE,1145/3488,51/113,3.8810,KIGOMA,68,80,1,79,0,0,79,0,6,23,39,11
S1271 ULUNGU,CENTRE WITH LESS THAN 40 CANDIDATES,593/1371,27/39,3.9506,RUKWA,16,22,4,18,0,0,18,0,2,4,10,2
S1272 KISARIKA,CENTRE WITH 40 CANDIDATES OR MORE,469/3488,53/270,3.3147,KILIMANJARO,89,96,0,96,0,0,96,5,30,33,21,7
S1273 IKUTI,CENTRE WITH 40 CANDIDATES OR MORE,933/3488,58/174,3.7954,MBEYA,109,120,0,120,0,0,120,1,18,22,68,11
S1274 LOLIONDO,CENTRE WITH 40 CANDIDATES OR MORE,680/3488,44/173,3.6130,ARUSHA,96,103,2,101,0,0,101,3,15,26,52,5
S1275 NYERERE MEMORIAL,CENTRE WITH 40 CANDIDATES OR MORE,1389/3488,48/188,3.9633,TANGA,94,139,0,139,0,0,139,3,17,23,51,45
S1276 DAR ES SALAAM PRIME,CENTRE WITH LESS THAN 40 CANDIDATES,876/1371,44/62,4.1557,DAR ES SALAAM,17,20,0,20,0,0,20,0,0,3,14,3
S1277 BEMKO,CENTRE WITH 40 CANDIDATES OR MORE,2742/3488,213/270,4.2684,KILIMANJARO,79,107,0,107,0,0,107,0,6,9,64,28
S1278 MBEZI,CENTRE WITH 40 CANDIDATES OR MORE,419/3488,50/239,3.2157,DAR ES SALAAM,152,152,0,152,0,0,152,6,40,65,41,0
S1279 LUEGU,CENTRE WITH 40 CANDIDATES OR MORE,3053/3488,101/115,4.3548,RUVUMA,38,59,2,57,0,0,57,0,1,5,32,19
S1280 USANGU,CENTRE WITH LESS THAN 40 CANDIDATES,148/1371,3/37,3.3186,MBEYA,21,21,0,21,0,0,21,1,6,7,7,0
S1281 NGARA,CENTRE WITH 40 CANDIDATES OR MORE,2711/3488,172/200,4.2623,KAGERA,108,172,5,167,0,0,167,2,2,23,81,59
S1282 UBIRI,CENTRE WITH 40 CANDIDATES OR MORE,3199/3488,145/188,4.4028,TANGA,64,103,2,101,0,0,101,0,0,9,55,37
S1284 NORTHERN HIGHLANDS,CENTRE WITH 40 CANDIDATES OR MORE,557/3488,62/270,3.4442,KILIMANJARO,57,59,1,58,0,0,58,1,13,18,25,1
S1285 FLORIAN,CENTRE WITH 40 CANDIDATES OR MORE,1924/3488,118/173,4.0890,ARUSHA,53,73,2,71,0,0,71,1,6,10,36,18
S1287 RUDI,CENTRE WITH LESS THAN 40 CANDIDATES,1254/1371,90/94,4.4340,DODOMA,20,29,1,28,0,0,28,0,0,1,19,8
S1288 HAI,CENTRE WITH 40 CANDIDATES OR MORE,2258/3488,184/270,4.1570,KILIMANJARO,139,204,4,200,0,0,200,1,14,23,101,61
S1289 RAJANI,CENTRE WITH 40 CANDIDATES OR MORE,1067/3488,34/108,3.8518,SHINYANGA,33,40,2,38,0,0,38,1,4,4,24,5
S1290 MUBUKA,CENTRE WITH 40 CANDIDATES OR MORE,2118/3488,126/200,4.1290,KAGERA,123,160,3,157,0,0,157,0,6,25,92,34
S1291 PEMBA ISLAMIC COLLEGE,CENTRE WITH LESS THAN 40 CANDIDATES,118/1371,1/13,3.2350,KASKAZINI PEMBA,30,30,0,30,0,0,30,2,7,14,7,0
S1292 SINGIDA,CENTRE WITH 40 CANDIDATES OR MORE,713/3488,10/98,3.6544,SINGIDA,87,90,0,90,0,0,90,1,11,27,48,3
S1293 IKORONGO,CENTRE WITH 40 CANDIDATES OR MORE,960/3488,29/157,3.8123,MARA,74,89,5,84,0,0,84,1,11,20,42,10
S1295 FORODHANI-ZANZIBAR,CENTRE WITH 40 CANDIDATES OR MORE,3367/3488,50/57,4.4958,MJINI MAGHARIBI,78,123,0,123,0,0,123,0,0,5,73,45
S1296 FUONI,CENTRE WITH 40 CANDIDATES OR MORE,3289/3488,44/57,4.4474,MJINI MAGHARIBI,135,208,3,205,0,0,205,0,2,10,123,70
S1297 JONGOWE,CENTRE WITH 40 CANDIDATES OR MORE,2231/3488,3/20,4.1505,KASKAZINI UNGUJA,80,87,1,86,0,0,86,0,1,10,69,6
S1298 KIEMBESAMAKI,CENTRE WITH 40 CANDIDATES OR MORE,2874/3488,32/57,4.2998,MJINI MAGHARIBI,189,247,6,241,1,0,240,0,3,20,166,51
S1299 MTULE,CENTRE WITH LESS THAN 40 CANDIDATES,1225/1371,8/11,4.4022,KUSINI UNGUJA,24,36,1,35,0,0,35,0,0,3,21,11
S1300 KWAMTIPURA,CENTRE WITH 40 CANDIDATES OR MORE,3394/3488,52/57,4.5129,MJINI MAGHARIBI,168,305,13,292,0,0,292,0,1,15,152,124
S1301 MAHONDA,CENTRE WITH 40 CANDIDATES OR MORE,3257/3488,10/20,4.4309,KASKAZINI UNGUJA,64,101,5,96,0,0,96,0,1,5,58,32
S1303 UROA,CENTRE WITH 40 CANDIDATES OR MORE,3085/3488,5/20,4.3632,KUSINI UNGUJA,43,58,0,58,0,0,58,0,2,2,39,15
S1304 CHANJAMJAWIRI,CENTRE WITH 40 CANDIDATES OR MORE,2939/3488,8/29,4.3156,KUSINI PEMBA,42,58,3,55,0,0,55,0,0,6,36,13
S1305 MINUNGWINI,CENTRE WITH 40 CANDIDATES OR MORE,3253/3488,9/21,4.4288,KASKAZINI PEMBA,61,92,2,90,0,0,90,0,1,7,53,29
S1306 MKANYAGENI,CENTRE WITH 40 CANDIDATES OR MORE,3413/3488,23/29,4.5357,KUSINI PEMBA,27,50,0,50,0,0,50,0,0,4,23,23
S1307 MAENDELEO NGWACHANI,CENTRE WITH 40 CANDIDATES OR MORE,3423/3488,24/29,4.5519,KUSINI PEMBA,53,88,1,87,0,0,87,0,0,2,51,34
S1308 TUMBE,CENTRE WITH 40 CANDIDATES OR MORE,2677/3488,5/21,4.2544,KASKAZINI PEMBA,55,66,1,65,0,0,65,0,0,9,46,10
S1309 VITONGOJI,CENTRE WITH 40 CANDIDATES OR MORE,2809/3488,6/29,4.2835,KUSINI PEMBA,72,93,1,92,0,0,92,0,2,9,61,20
S1310 TABATA,CENTRE WITH LESS THAN 40 CANDIDATES,1133/1371,53/62,4.3158,DAR ES SALAAM,11,17,0,17,0,0,17,0,1,2,8,6
S1311 SINZA TOWER,CENTRE WITH LESS THAN 40 CANDIDATES,739/1371,40/62,4.0539,DAR ES SALAAM,6,22,0,22,14,0,8,0,1,1,4,2
S1312 KWIRAMBA,CENTRE WITH 40 CANDIDATES OR MORE,2505/3488,109/157,4.2135,MARA,60,92,3,89,1,0,88,0,4,10,46,28
S1313 NKUHUNGU,CENTRE WITH 40 CANDIDATES OR MORE,668/3488,13/117,3.6019,DODOMA,151,165,0,165,0,0,165,6,31,38,76,14
S1314 KINANA,CENTRE WITH 40 CANDIDATES OR MORE,1514/3488,97/173,3.9988,ARUSHA,83,107,4,103,0,0,103,1,12,12,58,20
S1316 MOSHONO,CENTRE WITH 40 CANDIDATES OR MORE,1027/3488,60/173,3.8408,ARUSHA,63,75,0,75,0,0,75,2,9,16,36,12
S1317 MISHAMO,CENTRE WITH 40 CANDIDATES OR MORE,1697/3488,14/29,4.0373,KATAVI,86,123,2,121,0,0,121,2,9,21,54,35
S1318 NANDEMBO,CENTRE WITH 40 CANDIDATES OR MORE,1324/3488,36/115,3.9427,RUVUMA,98,107,4,103,0,0,103,0,6,19,73,5
S1319 UPENDO,CENTRE WITH LESS THAN 40 CANDIDATES,424/1371,11/92,3.8258,TANGA,9,11,1,10,0,0,10,0,0,5,4,1
S1320 MERERANI B W MKAPA,CENTRE WITH 40 CANDIDATES OR MORE,1782/3488,82/98,4.0572,MANYARA,115,154,2,152,0,0,152,0,11,30,74,37
S1321 ISANGE,CENTRE WITH 40 CANDIDATES OR MORE,2140/3488,138/174,4.1323,MBEYA,49,66,3,63,0,0,63,1,3,8,37,14
S1322 NTABA,CENTRE WITH 40 CANDIDATES OR MORE,2450/3488,148/174,4.1987,MBEYA,77,94,2,92,0,0,92,0,2,12,63,15
S1323 JAPAN,CENTRE WITH 40 CANDIDATES OR MORE,2504/3488,102/188,4.2129,TANGA,141,181,1,180,0,0,180,0,4,23,114,39
S1324 HARAMBEE,CENTRE WITH 40 CANDIDATES OR MORE,1996/3488,163/270,4.1028,KILIMANJARO,70,94,3,91,0,0,91,0,5,16,49,21
S1325 IGWACHANYA,CENTRE WITH 40 CANDIDATES OR MORE,794/3488,22/89,3.7246,NJOMBE,83,93,1,92,0,0,92,5,7,28,43,9
S1327 MAZOEZI KLERRUU,CENTRE WITH 40 CANDIDATES OR MORE,1933/3488,76/130,4.0909,IRINGA,160,216,1,215,0,0,215,3,13,33,111,55
S1328 PIO,CENTRE WITH 40 CANDIDATES OR MORE,278/3488,8/117,2.9316,DODOMA,130,130,0,130,0,0,130,14,50,46,20,0
S1329 MISSION KITUNDA,CENTRE WITH LESS THAN 40 CANDIDATES,1362/1371,62/62,4.6678,DAR ES SALAAM,5,18,1,17,5,0,12,0,0,0,5,7
S1330 PRESBYTERIAN SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,511/3488,25/159,3.3698,MOROGORO,45,45,0,45,0,0,45,2,11,15,17,0
S1331 IKUNA,CENTRE WITH 40 CANDIDATES OR MORE,2836/3488,80/89,4.2905,NJOMBE,49,70,0,70,0,0,70,0,2,5,42,21
S1332 MAHONGOLE,CENTRE WITH 40 CANDIDATES OR MORE,1013/3488,26/89,3.8355,NJOMBE,82,89,4,85,0,0,85,3,4,18,57,3
S1333 KAHAMA MUSLIM,CENTRE WITH 40 CANDIDATES OR MORE,1477/3488,61/108,3.9884,SHINYANGA,54,60,1,59,0,0,59,0,4,8,42,5
S1334 MHONGOLO PROGRESSIVE,CENTRE WITH 40 CANDIDATES OR MORE,357/3488,11/108,3.1215,SHINYANGA,119,120,0,120,0,0,120,11,35,41,32,1
S1335 KINDIKATI,CENTRE WITH 40 CANDIDATES OR MORE,1627/3488,129/270,4.0244,KILIMANJARO,49,64,1,63,0,0,63,0,5,9,35,14
S1336 BITALE,CENTRE WITH 40 CANDIDATES OR MORE,1495/3488,63/113,3.9947,KIGOMA,69,93,3,90,0,0,90,2,7,17,43,21
S1337 SUMAYE,CENTRE WITH 40 CANDIDATES OR MORE,1676/3488,69/159,4.0331,MOROGORO,137,185,2,183,0,0,183,3,13,35,86,46
S1338 CHIUNGUTWA,CENTRE WITH 40 CANDIDATES OR MORE,2906/3488,72/99,4.3068,MTWARA,38,59,2,57,0,0,57,0,2,5,31,19
S1339 KYERWA BRIGHT STAR,CENTRE WITH 40 CANDIDATES OR MORE,558/3488,36/200,3.4452,KAGERA,39,41,2,39,0,0,39,1,6,18,14,0
S1340 LWANGWA,CENTRE WITH 40 CANDIDATES OR MORE,1029/3488,70/174,3.8413,MBEYA,97,118,3,115,0,0,115,2,18,18,59,18
S1341 NAKAGURU,CENTRE WITH 40 CANDIDATES OR MORE,2499/3488,102/159,4.2116,MOROGORO,63,92,3,89,0,0,89,0,3,10,50,26
S1342 AMBASSADOR,CENTRE WITH LESS THAN 40 CANDIDATES,-,-,-,DAR ES SALAAM,-,10,4,6,6,0,0,0,0,0,0,0
S1343 ANNE MARIE,CENTRE WITH 40 CANDIDATES OR MORE,191/3488,23/239,2.6488,DAR ES SALAAM,141,141,0,141,0,0,141,28,58,49,6,0
S1344 MWALIMU J K NYERERE,CENTRE WITH 40 CANDIDATES OR MORE,1250/3488,29/70,3.9170,SONGWE,210,255,4,251,0,0,251,6,21,43,140,41
S1346 MIKALANGA,CENTRE WITH 40 CANDIDATES OR MORE,2928/3488,93/115,4.3131,RUVUMA,81,127,9,118,0,0,118,0,3,9,69,37
S1347 TINGI,CENTRE WITH 40 CANDIDATES OR MORE,2780/3488,87/115,4.2763,RUVUMA,59,83,4,79,0,0,79,0,1,9,49,20
S1348 KIGANGO,CENTRE WITH 40 CANDIDATES OR MORE,1758/3488,141/270,4.0506,KILIMANJARO,37,43,0,43,0,0,43,0,4,2,31,6
S1349 NYAKAHURA,CENTRE WITH 40 CANDIDATES OR MORE,888/3488,60/200,3.7731,KAGERA,69,87,5,82,0,0,82,2,11,23,33,13
S1350 AL QAEM SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,109/1371,2/94,3.1774,DODOMA,31,31,0,31,0,0,31,2,8,14,7,0
S1351 BURONGE,CENTRE WITH 40 CANDIDATES OR MORE,2436/3488,85/113,4.1970,KIGOMA,113,148,2,146,0,0,146,0,4,18,91,33
S1352 SUFA,CENTRE WITH LESS THAN 40 CANDIDATES,143/1371,9/23,3.3057,MJINI MAGHARIBI,28,28,0,28,0,0,28,2,6,12,8,0
S1353 ZAKIA MEGHJI,CENTRE WITH 40 CANDIDATES OR MORE,1903/3488,59/95,4.0855,GEITA,176,241,0,241,0,0,241,5,17,36,118,65
S1354 BUSANGI,CENTRE WITH 40 CANDIDATES OR MORE,1047/3488,31/108,3.8467,SHINYANGA,41,54,1,53,0,0,53,1,8,10,22,12
S1356 KAMENA,CENTRE WITH 40 CANDIDATES OR MORE,1955/3488,61/95,4.0943,GEITA,64,100,1,99,0,0,99,0,14,15,35,35
S1357 AHLULBAYT ISLAMIC SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,97/1371,4/58,3.1424,KIGOMA,33,33,0,33,0,0,33,0,12,15,6,0
S1358 DABIL,CENTRE WITH LESS THAN 40 CANDIDATES,458/1371,25/52,3.8564,MANYARA,30,39,4,35,0,0,35,0,6,6,18,5
S1359 MBANGAMAO,CENTRE WITH 40 CANDIDATES OR MORE,2642/3488,82/115,4.2449,RUVUMA,61,89,4,85,0,0,85,0,5,7,49,24
S1360 BILAL ISLAMIC SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,452/3488,11/57,3.2874,MJINI MAGHARIBI,48,49,1,48,0,0,48,1,13,21,13,0
S1361 SAMORA MACHEL,CENTRE WITH 40 CANDIDATES OR MORE,709/3488,34/174,3.6501,MBEYA,196,230,2,228,0,0,228,5,56,41,94,32
S1363 TEMBONI,CENTRE WITH 40 CANDIDATES OR MORE,3088/3488,207/239,4.3639,DAR ES SALAAM,89,137,1,136,0,0,136,0,1,11,77,47
S1364 ILEMBULA,CENTRE WITH 40 CANDIDATES OR MORE,1441/3488,41/89,3.9794,NJOMBE,81,89,1,88,0,0,88,0,5,17,59,7
S1366 HIGH-VIEW INTERNATIONAL SCHOOL,CENTRE WITH 40 CANDIDATES OR MORE,299/3488,5/57,2.9951,MJINI MAGHARIBI,55,57,2,55,0,0,55,4,19,26,6,0
S1367 HALE,CENTRE WITH 40 CANDIDATES OR MORE,3073/3488,136/188,4.3604,TANGA,60,111,2,109,0,0,109,1,5,8,46,49
S1368 GOOD SAMARITAN,CENTRE WITH LESS THAN 40 CANDIDATES,719/1371,38/62,4.0454,DAR ES SALAAM,30,37,1,36,0,0,36,0,2,9,19,6
S1369 MKALAMO,CENTRE WITH 40 CANDIDATES OR MORE,3305/3488,156/188,4.4540,TANGA,46,87,0,87,0,0,87,0,1,5,40,41
S1370 WEL WEL,CENTRE WITH 40 CANDIDATES OR MORE,1641/3488,109/173,4.0265,ARUSHA,60,80,5,75,0,0,75,0,6,15,39,15
S1372 KIWANGWA,CENTRE WITH 40 CANDIDATES OR MORE,3157/3488,98/115,4.3847,PWANI,139,261,3,258,0,0,258,4,7,18,110,119
S1373 MBELEI,CENTRE WITH 40 CANDIDATES OR MORE,2439/3488,97/188,4.1972,TANGA,115,158,0,158,0,0,158,0,2,24,89,43
S1374 KICHANGACHUI,CENTRE WITH 40 CANDIDATES OR MORE,423/3488,21/113,3.2190,KIGOMA,147,152,0,152,0,0,152,12,50,42,43,5
S1375 NEW ERA,CENTRE WITH 40 CANDIDATES OR MORE,901/3488,30/98,3.7786,TABORA,92,131,2,129,21,0,108,2,16,24,50,16
S1376 RUARUKE,CENTRE WITH LESS THAN 40 CANDIDATES,999/1371,34/47,4.2234,PWANI,30,36,1,35,0,0,35,0,1,1,28,5
S1381 MALIBWI,CENTRE WITH 40 CANDIDATES OR MORE,854/3488,34/188,3.7552,TANGA,57,64,0,64,0,0,64,2,7,16,32,7
S1382 LAKE VIEW,CENTRE WITH LESS THAN 40 CANDIDATES,111/1371,7/41,3.2078,KAGERA,25,25,0,25,0,0,25,4,4,8,9,0
S1383 MZINGA,CENTRE WITH 40 CANDIDATES OR MORE,677/3488,75/239,3.6123,DAR ES SALAAM,59,60,0,60,0,0,60,0,10,19,30,1
S1384 MATEMANGA,CENTRE WITH 40 CANDIDATES OR MORE,1531/3488,44/115,4.0017,RUVUMA,34,48,2,46,0,0,46,0,7,8,19,12
S1385 SONGORO,CENTRE WITH 40 CANDIDATES OR MORE,2168/3488,130/173,4.1382,ARUSHA,84,115,1,114,0,0,114,1,7,14,62,30
S1386 LYASIKIKA,CENTRE WITH 40 CANDIDATES OR MORE,1421/3488,113/270,3.9731,KILIMANJARO,53,63,0,63,0,0,63,2,5,7,39,10
S1387 JANGUO,CENTRE WITH 40 CANDIDATES OR MORE,2967/3488,83/115,4.3232,PWANI,70,87,2,85,0,0,85,0,0,4,66,15
S1388 THOMAS,CENTRE WITH LESS THAN 40 CANDIDATES,1275/1371,58/62,4.4596,DAR ES SALAAM,7,9,0,9,0,0,9,0,0,0,7,2
S1389 MGWASHI,CENTRE WITH 40 CANDIDATES OR MORE,683/3488,31/188,3.6190,TANGA,40,44,0,44,1,0,43,1,4,17,18,3
S1392 NATTA,CENTRE WITH 40 CANDIDATES OR MORE,849/3488,26/157,3.7519,MARA,104,112,1,111,0,0,111,3,10,25,66,7
S1394 KATORO ISLAMIC SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,285/3488,17/200,2.9612,KAGERA,111,111,0,111,0,0,111,13,35,50,13,0
S1395 TAIFA FOUNDATION,CENTRE WITH 40 CANDIDATES OR MORE,800/3488,22/115,3.7258,RUVUMA,70,74,1,73,0,0,73,0,11,19,40,3
S1396 CHANZIGE,CENTRE WITH 40 CANDIDATES OR MORE,1040/3488,40/115,3.8449,PWANI,50,56,0,56,0,0,56,2,5,8,35,6
S1397 KATORO,CENTRE WITH 40 CANDIDATES OR MORE,2789/3488,86/95,4.2790,GEITA,206,384,12,372,0,0,372,4,24,47,131,166
